CustomerID,ArrivalTime,ArrivalClockTime,InterarrivalTime,ServiceTime,TransactionType
1,5.67,09:05 AM,5.67,1.25,Withdrawal
2,13.08,09:13 AM,7.41,0.44,Balance Inquiry
3,14.45,09:14 AM,1.37,0.46,Withdrawal
4,20.28,09:20 AM,5.83,1.12,Withdrawal
5,29.49,09:29 AM,9.21,3.08,Withdrawal
6,31.8,09:31 AM,2.31,0.76,Withdrawal
7,42.24,09:42 AM,10.45,0.97,Balance Inquiry
8,46.51,09:46 AM,4.27,1.85,Deposit
9,56.34,09:56 AM,9.82,1.16,Balance Inquiry
10,63.11,10:03 AM,6.77,1.13,Withdrawal
11,63.57,10:03 AM,0.46,0.79,Withdrawal
12,69.18,10:09 AM,5.61,1.47,Withdrawal
13,70.91,10:10 AM,1.73,2.74,Deposit
14,71.95,10:11 AM,1.04,1.45,Fund Transfer
15,97.28,10:37 AM,25.33,0.56,Balance Inquiry
16,103.89,10:43 AM,6.61,1.67,Fund Transfer
17,105.24,10:45 AM,1.35,1.09,Withdrawal
18,112.71,10:52 AM,7.47,2.3,Withdrawal
19,121.49,11:01 AM,8.78,1.22,Withdrawal
20,124.43,11:04 AM,2.94,2.05,Withdrawal
21,126.26,11:06 AM,1.82,0.82,Withdrawal
22,131.86,11:11 AM,5.61,0.65,Withdrawal
23,151.69,11:31 AM,19.83,0.33,Withdrawal
24,155.78,11:35 AM,4.09,1.23,Withdrawal
25,156.21,11:36 AM,0.42,1.68,Withdrawal
26,163.66,11:43 AM,7.45,1.8,Withdrawal
27,172.36,11:52 AM,8.71,0.72,Mini Statement
28,175.72,11:55 AM,3.35,2.8,Withdrawal
29,181.1,12:01 PM,5.39,0.41,Withdrawal
30,184.94,12:04 PM,3.84,0.73,Mini Statement
31,188.76,12:08 PM,3.83,0.95,Deposit
32,188.89,12:08 PM,0.13,3.71,Fund Transfer
33,190.06,12:10 PM,1.17,1.22,Withdrawal
34,191.06,12:11 PM,1.0,1.91,Withdrawal
35,191.47,12:11 PM,0.41,1.64,Withdrawal
36,191.71,12:11 PM,0.23,1.4,Withdrawal
37,192.18,12:12 PM,0.48,0.68,Withdrawal
38,192.66,12:12 PM,0.47,1.46,Deposit
39,193.09,12:13 PM,0.44,1.73,Withdrawal
40,196.09,12:16 PM,3.0,0.77,Withdrawal
41,197.09,12:17 PM,1.0,2.62,Withdrawal
42,204.63,12:24 PM,7.54,1.55,Withdrawal
43,208.23,12:28 PM,3.6,1.04,Withdrawal
44,209.22,12:29 PM,1.0,1.19,Withdrawal
45,210.29,12:30 PM,1.06,1.1,Mini Statement
46,223.45,12:43 PM,13.16,0.99,Mini Statement
47,224.38,12:44 PM,0.93,1.49,Withdrawal
48,224.94,12:44 PM,0.56,2.35,Fund Transfer
49,230.68,12:50 PM,5.73,2.39,Deposit
50,230.98,12:50 PM,0.31,1.92,Withdrawal
51,231.09,12:51 PM,0.11,0.51,Balance Inquiry
52,231.4,12:51 PM,0.31,0.93,Deposit
53,233.04,12:53 PM,1.64,0.3,Balance Inquiry
54,237.06,12:57 PM,4.02,2.08,Withdrawal
55,238.05,12:58 PM,0.99,0.53,Balance Inquiry
56,238.47,12:58 PM,0.42,1.7,Fund Transfer
57,240.49,01:00 PM,2.03,1.34,Withdrawal
58,240.63,01:00 PM,0.14,0.69,Withdrawal
59,241.19,01:01 PM,0.56,4.47,Deposit
60,242.03,01:02 PM,0.84,3.31,Withdrawal
61,243.75,01:03 PM,1.72,3.74,Deposit
62,245.73,01:05 PM,1.98,1.14,Deposit
63,245.93,01:05 PM,0.21,0.33,Balance Inquiry
64,248.23,01:08 PM,2.3,2.22,Withdrawal
65,249.45,01:09 PM,1.22,1.98,Deposit
66,249.46,01:09 PM,0.01,3.02,Fund Transfer
67,251.91,01:11 PM,2.46,0.45,Balance Inquiry
68,252.06,01:12 PM,0.14,1.97,Mini Statement
69,252.35,01:12 PM,0.29,1.33,Withdrawal
70,255.24,01:15 PM,2.89,0.65,Mini Statement
71,257.99,01:17 PM,2.75,0.87,Mini Statement
72,258.3,01:18 PM,0.31,4.25,Deposit
73,261.32,01:21 PM,3.03,0.3,Mini Statement
74,262.06,01:22 PM,0.73,3.62,Deposit
75,265.09,01:25 PM,3.03,3.72,Withdrawal
76,265.54,01:25 PM,0.46,2.37,Fund Transfer
77,268.43,01:28 PM,2.88,1.37,Withdrawal
78,274.62,01:34 PM,6.2,2.24,Withdrawal
79,281.84,01:41 PM,7.22,0.81,Withdrawal
80,284.22,01:44 PM,2.37,2.12,Withdrawal
81,285.1,01:45 PM,0.88,0.32,Balance Inquiry
82,285.1,01:45 PM,0.0,2.33,Deposit
83,287.57,01:47 PM,2.46,0.4,Balance Inquiry
84,289.55,01:49 PM,1.98,1.34,Withdrawal
85,291.86,01:51 PM,2.31,1.33,Withdrawal
86,292.8,01:52 PM,0.94,0.87,Withdrawal
87,297.93,01:57 PM,5.13,0.35,Balance Inquiry
88,297.93,01:57 PM,0.0,1.62,Withdrawal
89,299.86,01:59 PM,1.93,1.65,Withdrawal
90,301.02,02:01 PM,1.17,3.57,Deposit
91,301.28,02:01 PM,0.25,2.21,Withdrawal
92,306.15,02:06 PM,4.87,3.18,Fund Transfer
93,306.79,02:06 PM,0.63,1.18,Withdrawal
94,312.2,02:12 PM,5.42,1.58,Withdrawal
95,312.82,02:12 PM,0.62,0.5,Balance Inquiry
96,315.87,02:15 PM,3.05,2.73,Withdrawal
97,316.19,02:16 PM,0.32,1.0,Withdrawal
98,318.28,02:18 PM,2.08,1.19,Withdrawal
99,320.02,02:20 PM,1.74,3.15,Fund Transfer
100,322.6,02:22 PM,2.59,4.64,Deposit
101,326.23,02:26 PM,3.63,3.28,Withdrawal
102,332.73,02:32 PM,6.5,2.42,Fund Transfer
103,333.54,02:33 PM,0.81,0.87,Balance Inquiry
104,336.36,02:36 PM,2.82,0.71,Withdrawal
105,337.27,02:37 PM,0.91,1.91,Withdrawal
106,338.02,02:38 PM,0.75,0.43,Balance Inquiry
107,339.55,02:39 PM,1.54,1.59,Withdrawal
108,342.06,02:42 PM,2.51,1.13,Balance Inquiry
109,343.43,02:43 PM,1.37,1.43,Withdrawal
110,348.91,02:48 PM,5.49,1.96,Deposit
111,351.17,02:51 PM,2.26,0.3,Balance Inquiry
112,352.81,02:52 PM,1.64,1.39,Withdrawal
113,354.29,02:54 PM,1.48,1.71,Withdrawal
114,357.07,02:57 PM,2.78,1.53,Withdrawal
115,357.15,02:57 PM,0.08,0.3,Balance Inquiry
116,357.29,02:57 PM,0.15,1.1,Withdrawal
117,361.39,03:01 PM,4.09,2.74,Withdrawal
118,362.36,03:02 PM,0.97,0.41,Withdrawal
119,393.33,03:33 PM,30.97,2.28,Withdrawal
120,396.84,03:36 PM,3.52,1.31,Fund Transfer
121,399.61,03:39 PM,2.77,2.48,Withdrawal
122,400.22,03:40 PM,0.61,1.0,Balance Inquiry
123,400.6,03:40 PM,0.38,1.33,Withdrawal
124,411.19,03:51 PM,10.58,2.55,Withdrawal
125,415.1,03:55 PM,3.91,0.3,Balance Inquiry
126,421.43,04:01 PM,6.33,0.3,Balance Inquiry
127,425.06,04:05 PM,3.63,1.61,Withdrawal
128,426.74,04:06 PM,1.68,3.46,Withdrawal
129,427.0,04:07 PM,0.27,2.68,Deposit
130,429.93,04:09 PM,2.93,2.64,Withdrawal
